epoch,accuracy,loss,val_accuracy,val_loss
0,0.8857142925262451,0.5089086294174194,0.8666666746139526,2.5609490871429443
1,0.8952381014823914,0.8007304668426514,0.8666666746139526,0.7188059091567993
2,0.9142857193946838,0.1789522022008896,0.6666666865348816,1.1789990663528442
3,0.9428571462631226,0.16503584384918213,0.7333333492279053,1.5102397203445435
4,0.961904764175415,0.12256371974945068,0.7333333492279053,1.1825957298278809
5,0.9428571462631226,0.10245838761329651,0.800000011920929,0.9053381085395813
6,0.9809523820877075,0.06916278600692749,0.800000011920929,0.9196552038192749
7,0.9714285731315613,0.07341023534536362,0.8666666746139526,0.49037986993789673
8,0.9523809552192688,0.1794518083333969,0.9333333373069763,0.23920224606990814
9,0.9523809552192688,0.13392987847328186,0.800000011920929,1.2944300174713135
10,0.9714285731315613,0.08685154467821121,0.800000011920929,2.667781352996826
11,0.961904764175415,0.0930657908320427,0.7333333492279053,1.3750452995300293
12,1.0,0.0188747551292181,0.7333333492279053,1.05795156955719
13,0.9714285731315613,0.08000388741493225,0.8666666746139526,0.6964791417121887
14,0.9904761910438538,0.033312685787677765,0.8666666746139526,0.6076725721359253
15,0.9809523820877075,0.03494607284665108,0.8666666746139526,0.6382976174354553
16,1.0,0.01611892692744732,0.8666666746139526,0.3731572926044464
17,0.9809523820877075,0.12355523556470871,0.800000011920929,0.9181051850318909
18,0.9333333373069763,0.3181319832801819,0.8666666746139526,0.6130214929580688
19,0.9809523820877075,0.045338261872529984,0.8666666746139526,0.646385133266449
